unique_id, Restuarant_Name, Longitude, Latitude, Price_Index, Num_Shown_5_star, Num_Shown_4_star, Num_Shown_3_star, Num_Shown_2_star, Num_Shown_1_star, Total_Shown_Votes, Avg_Shown_Score, Num_Filtered_5_star, Num_Filtered_4_star, Num_Filtered_3_star, Num_Filtered_2_star, Num_Filtered_1_star, Total_Filtered_Votes, Avg_Filtered_Score
d0XtFPtDQhlXXTY-9uCxAA,Taqueria Traspasada,41.9389527,-87.6979428,1,45,54,9,6,8,122,4.0,12,6,2,0,1,21,4.333333333333333
jLeoiyhxx5FyGmtuYpdQnQ,Pho No.1,41.9679385904684,-87.7754132153047,1,62,31,8,4,5,110,4.281818181818182,3,2,0,2,1,8,3.5
LXtSheHGNVAjY8DUMy9pqA,New York Delicatessen,41.9353856,-87.6467644,1,147,55,16,8,4,230,4.447826086956522,42,8,1,1,7,59,4.305084745762712
8oKRLk54AhYwEaBe7onYog,Green Door Tavern,41.8946215100706,-87.6373652708838,2,79,157,69,12,12,329,3.8480243161094223,14,14,1,0,2,31,4.225806451612903
CwPi6NVuJIZZx4IBcTekFQ,Yolk South Loop,41.868802670386,-87.624455337994,2,418,473,251,116,43,1301,3.850883935434281,54,69,20,11,16,170,3.788235294117647
JkSMTKASXhXmMJK5qcCJiQ,The Orbit Room,41.9356631,-87.6975722,2,107,123,37,20,11,298,3.98993288590604,22,13,3,2,13,53,3.547169811320755
kxqcvZTKm2FAt6c5JNViNw,Brgrbelly,41.985086,-87.7761971,2,108,23,14,5,6,156,4.423076923076923,8,6,1,1,3,19,3.789473684210526
8sNuhJjg7fEzVY5L7nW_kg,Paco’s Tacos,41.815012,-87.702131,1,55,30,6,2,3,96,4.375,15,5,0,0,4,24,4.125
zXDVdB7jofrt1IWODlOtUA,Beatrix River North,41.891477,-87.6308169,2,393,324,88,40,23,868,4.179723502304148,25,18,2,1,2,48,4.3125
YU3XvseN8keVmipgidQ94w,Antique Taco,41.9063609,-87.671681,2,296,298,117,59,30,800,3.96375,46,24,6,5,4,85,4.211764705882353
jmb-2jtaaDXe8bYD4QLTzw,La Palma Puerto Rican Restaurant,41.9058051,-87.7119663,1,54,25,6,5,9,99,4.111111111111111,29,3,2,1,5,40,4.25
3Yw8i4DTPR5a7SpQJMMS9Q,Honky Tonk BBQ,41.8577783,-87.656753,2,190,223,107,81,60,661,3.6081694402420577,75,29,13,15,28,160,3.675
d6UbRb9W5eA1yL-DuVZ8ug,ZED451,41.896111,-87.63102,3,377,334,129,69,60,969,3.9277605779153766,71,36,7,19,37,170,3.5
q684td_kKNRMTHMeMchXOg,En Hakkore,41.91518,-87.677724,2,250,131,26,7,6,420,4.457142857142857,19,4,3,1,0,27,4.518518518518518
sQ-IPzNMgkDkF7BWb9cApw,Nohea Cafe,41.8817241,-87.6603567,2,78,57,9,5,8,157,4.222929936305732,27,8,0,5,3,43,4.186046511627907
U5qXyYimIHN5s1IXdV1qdA,Moon’s Sandwich Shop,41.8806481,-87.6867815,1,41,26,8,4,6,85,4.08235294117647,3,5,1,0,2,11,3.6363636363636362
XZwuqqN5HZ8jFAdmxQmcKg,Casa Yari,41.9249801635742,-87.7101974487305,2,57,13,1,0,3,74,4.635135135135135,6,0,1,0,2,9,3.888888888888889
bzimKESOih3WdRWa42QXMg,Perennial Virant,41.9154762,-87.6345544,3,167,149,61,39,11,427,3.988290398126464,13,5,5,7,5,35,3.4
mRHWyuwuBoNErcNbwwdjVw,Cherubs,41.925193,-87.691153,1,20,12,6,2,1,41,4.170731707317073,4,0,2,0,1,7,3.857142857142857
JVPraLjYtcNRzcfhHHNOhQ,The Grafton,41.9639855,-87.6857255,2,119,196,67,33,15,430,3.8627906976744186,21,17,2,3,5,48,3.9583333333333335
0VEE9H6OuGaswhC70tjKeQ,Beatrix Streeterville,41.8944538,-87.6227298,2,58,25,10,6,3,102,4.264705882352941,10,1,0,0,0,11,4.909090909090909
uFsyh2CRpIWYOaT_FfiHtg,Blue Door Farm Stand Too,41.9180765,-87.6466439,2,11,0,0,0,0,11,5.0,0,0,0,0,0,0,x
ElCbMJRjgu9LDj4MxOKXew,Big Jones,41.9794385,-87.6680092,2,330,421,189,110,32,1082,3.8382624768946396,51,29,17,16,15,128,3.6640625
Y0FD11PwniiZdMHvjIaplw,Ugo’s Kitchen & Bar,41.9173118757641,-87.6987504834681,2,27,5,4,2,1,39,4.410256410256411,5,0,0,0,0,5,5.0
QG6k8viDLaAf5WBIytthDA,Jess Cafe,41.9382945,-87.7722116,1,132,81,18,15,14,260,4.161538461538462,22,8,2,4,3,39,4.076923076923077
cKZNbMvoqJaUe7n6lf6i7w,Wildberry Pancakes and Cafe,41.884596215642,-87.6230798295251,2,1106,598,184,63,30,1981,4.356385663806159,113,49,11,9,43,225,3.8
0WqF9QEQBgNHNr3WXmwS6g,Jubrano’s,41.86906,-87.664896,1,34,33,13,7,2,89,4.01123595505618,16,7,0,0,1,24,4.541666666666667
aSxxfNO_647MtX8zc6vhOg,Angelina Ristorante,41.947681,-87.646998,2,174,188,75,48,23,508,3.87007874015748,18,25,7,10,9,69,3.4782608695652173
FqzYCiJ29FGw6KFAGrpuJQ,Lou Malnati’s Pizzeria,41.9025154,-87.6284023,2,309,238,86,41,34,708,4.055084745762712,33,25,11,6,8,83,3.8313253012048194
B5CpZsEZJqRsKVYU7nWDDg,The Aberdeen Tap,41.89033,-87.654946,2,104,97,16,0,4,221,4.343891402714932,18,4,1,0,1,24,4.583333333333333
7zXVHfCWPnoAgU2pEbaazQ,Ara On,41.8794523179531,-87.6327513903379,2,60,70,34,14,5,183,3.907103825136612,7,9,0,0,2,18,4.055555555555555
UHUalNP0sTqDeCdXrBCAZg,Sol de Mexico,41.9357899,-87.7470853,2,102,44,18,8,6,178,4.280898876404494,27,9,1,2,3,42,4.309523809523809
-QSd8rhzCui-tZEyIfwyQA,Ñ,41.9356832,-87.6927103,2,63,72,22,23,10,190,3.8157894736842106,10,4,1,1,4,20,3.75
